year,date,value
1996,1996-01-01,1.5002189874649
1998,1998-01-01,1.56696021556854
2000,2000-01-01,1.56463289260864
2002,2002-01-01,1.51690554618835
2003,2003-01-01,1.55444955825806
2004,2004-01-01,1.41830444335938
2005,2005-01-01,1.5282701253891
2006,2006-01-01,1.59266018867493
2007,2007-01-01,1.61114573478699
2008,2008-01-01,1.62871420383453
2009,2009-01-01,1.59132015705109
2010,2010-01-01,1.63102221488953
2011,2011-01-01,1.59098601341248
2012,2012-01-01,1.62034177780151
2013,2013-01-01,1.54942762851715
2014,2014-01-01,1.60697412490845
2015,2015-01-01,1.56301236152649
2016,2016-01-01,1.58059740066528
2017,2017-01-01,1.60897934436798
2018,2018-01-01,1.47568726539612
2019,2019-01-01,1.4241726398468
2020,2020-01-01,1.33649373054504
2021,2021-01-01,1.38915693759918
2022,2022-01-01,1.36920201778412
2023,2023-01-01,1.3276778459549
